k,p,accuracy,time
30,2,80.20833333333334,0.16701579093933105
30,3,80.83333333333333,0.2502443790435791
30,4,80.41666666666667,0.24461030960083008
30,5,80.83333333333333,0.2500183582305908
30,6,81.04166666666667,0.2384326457977295
30,7,81.04166666666667,0.28632569313049316
30,8,81.04166666666667,0.24552559852600098
30,9,81.04166666666667,0.23531770706176758
30,10,80.83333333333333,0.2693908214569092
31,1,81.25,0.20806336402893066
31,2,81.66666666666667,0.1767134666442871
31,3,81.25,0.25700807571411133
31,4,81.45833333333333,0.2541360855102539
31,5,81.45833333333333,0.2627837657928467
31,6,81.45833333333333,0.23104262351989746
31,7,81.25,0.2642331123352051
31,8,81.25,0.2635068893432617
31,9,81.25,0.23307061195373535
31,10,81.25,0.26546216011047363
32,1,80.20833333333334,0.19897818565368652
32,2,80.41666666666667,0.1805129051208496
32,3,80.41666666666667,0.3027780055999756
32,4,80.83333333333333,0.26460719108581543
32,5,80.83333333333333,0.2607128620147705
32,6,80.83333333333333,0.28165173530578613
32,7,80.83333333333333,0.2653501033782959
32,8,80.625,0.228302001953125
32,9,80.83333333333333,0.3260972499847412
32,10,80.83333333333333,0.24265384674072266
33,1,81.04166666666667,0.15411138534545898
33,2,81.04166666666667,0.19596481323242188
33,3,81.25,0.2202928066253662
33,4,81.25,0.22148799896240234
33,5,81.875,0.2352142333984375
33,6,81.875,0.2311716079711914
33,7,81.875,0.2199084758758545
33,8,81.875,0.21119999885559082
33,9,81.875,0.24460887908935547
33,10,82.08333333333333,0.21351099014282227
34,1,80.0,0.1946570873260498
34,2,80.625,0.22356820106506348
34,3,81.25,0.26031947135925293
34,4,81.25,0.22690248489379883
34,5,81.45833333333333,0.27335143089294434
34,6,81.45833333333333,0.26258039474487305
34,7,81.45833333333333,0.23798441886901855
34,8,81.66666666666667,0.27967357635498047
34,9,81.45833333333333,0.2692537307739258
34,10,81.45833333333333,0.23047351837158203
35,1,80.625,0.2391805648803711
35,2,81.25,0.20863938331604004
35,3,81.66666666666667,0.23030877113342285
35,4,81.25,0.2851133346557617
35,5,81.875,0.26885128021240234
35,6,81.875,0.22995686531066895
35,7,81.875,0.2969064712524414
35,8,81.875,0.26262927055358887
35,9,81.875,0.2632575035095215
35,10,81.875,0.2284393310546875
36,1,79.58333333333333,0.23545050621032715
36,2,80.625,0.21418142318725586
36,3,81.25,0.23101139068603516
36,4,81.25,0.2816426753997803
36,5,81.66666666666667,0.262850284576416
36,6,81.66666666666667,0.22318363189697266
36,7,81.66666666666667,0.29446864128112793
36,8,81.45833333333333,0.26164746284484863
36,9,81.04166666666667,0.23296689987182617
36,10,81.04166666666667,0.26502561569213867
37,1,80.625,0.16669344902038574
37,2,81.25,0.15398740768432617
37,3,81.66666666666667,0.2564551830291748
37,4,81.875,0.2204129695892334
37,5,82.08333333333333,0.20967507362365723
37,6,82.29166666666666,0.26353001594543457
37,7,82.08333333333333,0.22033953666687012
37,8,82.29166666666666,0.2149648666381836
37,9,82.29166666666666,0.2224884033203125
37,10,82.08333333333333,0.23470401763916016
38,1,79.58333333333333,0.16301226615905762
38,2,80.83333333333333,0.15410757064819336
38,3,81.66666666666667,0.22394394874572754
38,4,81.66666666666667,0.21782374382019043
38,5,81.25,0.2146306037902832
38,6,81.25,0.26903724670410156
38,7,81.25,0.25705647468566895
38,8,81.25,0.20917654037475586
38,9,81.25,0.22138023376464844
38,10,81.25,0.21797895431518555
39,1,80.625,0.15442705154418945
39,2,81.45833333333333,0.18299126625061035
39,3,82.08333333333333,0.219102144241333
39,4,82.29166666666666,0.2334425449371338
39,5,81.875,0.29007792472839355
39,6,82.08333333333333,0.26430344581604004
39,7,82.08333333333333,0.2316744327545166
39,8,82.08333333333333,0.28238463401794434
39,9,82.29166666666666,0.2628934383392334
39,10,82.29166666666666,0.23169469833374023
40,1,80.0,0.20314693450927734
